ID,Office_PIN,Applicant_City_PIN,Applicant_Gender,Applicant_Marital_Status,Applicant_Occupation,Applicant_Qualification,Manager_Joining_Designation,Manager_Current_Designation,Manager_Grade,Manager_Status,Manager_Gender,Manager_Num_Application,Manager_Num_Coded,Manager_Business,Manager_Num_Products,Manager_Business2,Manager_Num_Products2,Business_Sourced
FIN1000044,803101,805130,M,M,Salaried,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,290235.0,18.0,290235.0,18.0,0
FIN1000045,201010,110062,M,M,Salaried,Graduate,Level 2,Level 2,3.0,Confirmation,M,2.0,2.0,259713.0,14.0,259713.0,14.0,0
FIN1000046,201010,201307,M,S,Business,Graduate,Level 2,Level 2,3.0,Confirmation,M,3.0,2.0,347412.0,18.0,347412.0,18.0,0
FIN1000047,124001,124001,M,M,Business,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,1.0,127324.0,9.0,127324.0,9.0,0
FIN1000048,274001,274204,M,S,Business,Class XII,Level 1,Level 1,2.0,Confirmation,M,2.0,1.0,189374.0,12.0,189374.0,12.0,0
FIN1000049,201010,201204,M,S,Others,Graduate,Level 2,Level 2,3.0,Confirmation,M,2.0,0.0,147062.0,11.0,147062.0,11.0,0
FIN1000050,533101,534218,M,M,Business,Class XII,Level 1,Level 2,3.0,Confirmation,M,2.0,3.0,233726.0,14.0,233726.0,14.0,0
FIN1000051,826001,828116,F,S,Business,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,1.0,74915.0,7.0,74915.0,7.0,0
FIN1000052,803101,803111,M,M,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,1158533.0,74.0,1158533.0,74.0,0
FIN1000053,803101,803116,F,M,Business,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,290235.0,18.0,290235.0,18.0,0
FIN1000056,211001,211019,M,S,Salaried,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,147461.0,12.0,147461.0,12.0,0
FIN1000057,211001,212507,M,M,Business,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,1.0,215479.0,15.0,215479.0,15.0,0
FIN1000058,211001,212218,M,M,Salaried,Class XII,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,851557.0,39.0,851557.0,39.0,0
FIN1000059,500016,500072,M,M,Salaried,Graduate,Level 2,Level 5,6.0,Confirmation,F,1.0,0.0,1274525.0,21.0,1274525.0,21.0,0
FIN1000060,803101,803216,M,M,Others,Class XII,Level 1,Level 3,4.0,Confirmation,M,1.0,1.0,295775.0,19.0,295775.0,19.0,0
FIN1000061,390020,390020,M,M,Others,Graduate,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,343190.0,17.0,343190.0,17.0,0
FIN1000062,824101,824101,M,M,Business,Class X,Level 1,Level 2,3.0,Confirmation,M,1.0,1.0,433819.0,35.0,433819.0,35.0,0
FIN1000063,390020,391440,M,M,Business,Class XII,Other,Level 4,6.0,Confirmation,M,2.0,0.0,1149571.0,13.0,1149571.0,13.0,0
FIN1000064,211001,221507,M,S,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,1.0,768525.0,36.0,768525.0,36.0,0
FIN1000065,171006,171205,M,M,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,2.0,0.0,178485.0,6.0,178485.0,6.0,0
FIN1000066,834001,834002,F,S,Salaried,Graduate,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,259180.0,9.0,259180.0,9.0,0
FIN1000067,834001,834001,F,S,Salaried,Class XII,Level 1,Level 1,2.0,Confirmation,F,0.0,0.0,102178.0,6.0,102178.0,6.0,0
FIN1000068,814112,814166,M,M,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,2.0,1.0,230402.0,17.0,230402.0,17.0,0
FIN1000069,800001,844117,M,M,Business,Graduate,Level 1,Level 1,2.0,Confirmation,M,1.0,1.0,168546.0,13.0,168546.0,13.0,0
FIN1000070,841428,841438,M,M,Others,Class XII,Level 1,Level 3,4.0,Confirmation,M,0.0,1.0,853436.0,51.0,853436.0,51.0,0
FIN1000071,500016,500004,F,S,Salaried,Graduate,Level 1,Level 1,2.0,Confirmation,M,4.0,0.0,39485.0,2.0,39485.0,2.0,0
FIN1000072,121002,121102,M,M,Others,Graduate,Level 1,Level 1,2.0,Confirmation,F,5.0,3.0,241031.0,20.0,241031.0,20.0,0
FIN1000073,533101,533005,F,S,Salaried,Class XII,Level 1,Level 2,3.0,Confirmation,M,4.0,1.0,124008.0,10.0,124008.0,10.0,0
FIN1000074,520010,520002,F,M,Salaried,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,0.0,81786.0,7.0,81786.0,7.0,0
FIN1000075,575003,576138,M,M,Business,Masters of Business Administration,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,461788.0,21.0,461788.0,21.0,0
FIN1000076,121002,121005,M,M,Salaried,Class XII,Level 2,Level 2,3.0,Confirmation,M,1.0,0.0,458532.0,21.0,458532.0,21.0,0
FIN1000077,121002,121004,M,M,Business,Class XII,Level 1,Level 1,2.0,Confirmation,M,2.0,0.0,205084.0,17.0,205084.0,17.0,0
FIN1000078,121002,121101,M,M,Salaried,Class XII,Level 2,Level 3,4.0,Confirmation,M,0.0,0.0,103161.0,4.0,103161.0,4.0,0
FIN1000079,700016,743312,M,M,Others,Class XII,Level 2,Level 3,4.0,Confirmation,M,0.0,1.0,99105.0,5.0,99105.0,5.0,0
FIN1000080,600017,600037,M,S,Salaried,Class XII,Level 1,Level 2,3.0,Confirmation,M,3.0,0.0,172797.0,11.0,172797.0,11.0,1
FIN1000081,600017,600042,M,M,Business,Class XII,Level 1,Level 2,3.0,Confirmation,M,3.0,0.0,172797.0,11.0,172797.0,11.0,1
FIN1000082,560001,560036,M,M,Business,Graduate,Level 1,Level 4,6.0,Confirmation,M,5.0,1.0,0.0,0.0,0.0,0.0,1
FIN1000083,271201,271202,M,M,Others,Graduate,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,97867.0,8.0,97867.0,8.0,1
FIN1000086,474008,474001,M,M,Others,Class XII,Level 2,Level 2,3.0,Confirmation,M,4.0,4.0,212886.0,17.0,212886.0,17.0,1
FIN1000088,284001,284202,M,M,Others,Graduate,Level 1,Level 2,3.0,Confirmation,M,1.0,1.0,264894.0,20.0,264894.0,20.0,0
FIN1000089,284001,284202,M,M,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,1.0,1.0,264894.0,20.0,264894.0,20.0,0
FIN1000090,211001,211003,M,S,Salaried,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,193456.0,14.0,193456.0,14.0,0
FIN1000091,226001,261001,M,S,Others,Graduate,Level 2,Level 2,3.0,Confirmation,M,0.0,0.0,41810.0,4.0,41810.0,4.0,0
FIN1000092,834001,834010,M,M,Others,Class XII,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,450495.0,10.0,450495.0,10.0,0
FIN1000093,226001,271502,M,S,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,76825.0,5.0,76825.0,5.0,0
FIN1000094,226001,226021,M,S,Self Employed,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,40162.0,3.0,40162.0,3.0,0
FIN1000095,226001,226011,M,M,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,1.0,0.0,93352.0,7.0,93352.0,7.0,0
FIN1000096,226001,261001,F,M,Others,Graduate,Level 1,Level 1,2.0,Confirmation,M,0.0,1.0,57320.0,4.0,57320.0,4.0,0
FIN1000097,284001,284202,M,S,Others,Class X,Level 1,Level 2,3.0,Confirmation,M,1.0,1.0,171830.0,16.0,171830.0,16.0,0
FIN1000098,226001,261001,M,M,Business,Graduate,Level 2,Level 2,3.0,Confirmation,M,0.0,0.0,41810.0,4.0,41810.0,4.0,0
FIN1000099,226001,226001,F,S,Business,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,1.0,115986.0,8.0,115986.0,8.0,0
FIN1000101,500016,500070,M,S,Others,Graduate,Level 1,Level 1,2.0,Confirmation,M,2.0,2.0,409039.0,4.0,409039.0,4.0,0
FIN1000102,803101,805126,M,M,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,2.0,271508.0,20.0,271508.0,20.0,0
FIN1000103,271201,271204,M,M,Others,Graduate,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,213964.0,13.0,213964.0,13.0,0
FIN1000105,474008,474601,F,M,Salaried,Class XII,Level 2,Level 3,4.0,Confirmation,M,0.0,2.0,1359705.0,24.0,1359705.0,24.0,0
FIN1000106,400075,400071,M,M,Salaried,Class XII,Level 2,Level 2,3.0,Confirmation,M,2.0,1.0,12180.0,1.0,12180.0,1.0,1
FIN1000107,277001,277302,M,M,Others,Graduate,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,472579.0,35.0,472579.0,35.0,1
FIN1000108,600017,600057,F,M,Others,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,0.0,312774.0,19.0,312774.0,19.0,1
FIN1000109,400075,402201,M,M,Others,Graduate,Level 1,Level 2,3.0,Confirmation,M,4.0,2.0,344142.0,17.0,344142.0,17.0,1
FIN1000110,211001,212403,M,M,Business,Class XII,Level 1,Level 2,3.0,Confirmation,M,1.0,2.0,472404.0,33.0,472404.0,33.0,1
FIN1000111,122002,122001,F,S,Business,Class XII,Level 3,Level 3,4.0,Confirmation,M,10.0,2.0,30407.0,3.0,30407.0,3.0,0
FIN1000112,211001,212402,M,S,Salaried,Class XII,Level 1,Level 2,3.0,Confirmation,M,1.0,2.0,472404.0,33.0,472404.0,33.0,1
FIN1000113,122002,123401,F,S,Salaried,Graduate,Level 3,Level 3,4.0,Confirmation,M,10.0,2.0,30407.0,3.0,30407.0,3.0,0
FIN1000114,492001,492001,M,M,Salaried,Class XII,Level 1,Level 1,2.0,Confirmation,M,1.0,0.0,1077964.0,11.0,1077964.0,11.0,1
FIN1000115,560001,560058,M,M,Others,Class XII,Level 1,Level 4,6.0,Probation,M,0.0,0.0,0.0,0.0,0.0,0.0,1
FIN1000116,277001,277303,M,M,Others,Class XII,Level 1,Level 4,5.0,Confirmation,M,0.0,1.0,367899.0,21.0,367899.0,21.0,0
FIN1000117,211001,221507,M,S,Business,Class XII,Level 2,Level 2,3.0,Confirmation,M,1.0,1.0,190648.0,14.0,190648.0,14.0,1
FIN1000118,125001,125001,M,M,Others,Graduate,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,392935.0,12.0,392935.0,12.0,0
FIN1000119,530003,532290,F,S,Salaried,Graduate,Level 2,Level 2,3.0,Confirmation,F,4.0,0.0,241429.0,6.0,241429.0,6.0,1
FIN1000121,452003,452002,F,S,Others,Class XII,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,473417.0,18.0,473417.0,18.0,1
FIN1000122,444601,444603,M,M,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,330198.0,20.0,330198.0,20.0,1
FIN1000123,533101,533447,M,M,Business,Class XII,Level 1,Level 1,2.0,Confirmation,M,1.0,0.0,102425.0,7.0,102425.0,7.0,0
FIN1000124,390020,390019,M,M,Salaried,Graduate,Level 1,Level 4,6.0,Confirmation,M,0.0,0.0,1964560.0,27.0,1964560.0,27.0,1
FIN1000125,277001,277303,M,M,Others,Graduate,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,222130.0,15.0,222130.0,15.0,1
FIN1000126,277001,277303,M,M,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,222130.0,15.0,222130.0,15.0,0
FIN1000127,560001,560062,F,M,Others,Class XII,Level 1,Level 4,6.0,Probation,M,0.0,0.0,0.0,0.0,0.0,0.0,1
FIN1000128,560001,560076,F,M,Others,Graduate,Level 2,Level 4,5.0,Probation,M,0.0,0.0,0.0,0.0,0.0,0.0,1
FIN1000129,400075,421002,F,S,Others,Graduate,Level 1,Level 2,3.0,Confirmation,F,5.0,2.0,347554.0,16.0,347554.0,16.0,1
FIN1000130,208001,208017,M,S,Student,Class XII,Level 1,Level 4,5.0,Confirmation,M,2.0,3.0,991303.0,20.0,991303.0,20.0,1
FIN1000131,221010,221105,M,S,Others,Class XII,Level 1,Level 3,4.0,Confirmation,M,0.0,1.0,325047.0,28.0,325047.0,28.0,0
FIN1000132,390020,390020,F,S,Salaried,Class XII,Level 1,Level 1,2.0,Confirmation,M,1.0,3.0,213662.0,10.0,213662.0,10.0,1
FIN1000133,273001,273001,M,M,Business,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,0.0,64636.0,6.0,64636.0,6.0,1
FIN1000134,802301,802152,F,M,Others,Class X,Level 1,Level 2,3.0,Confirmation,M,9.0,3.0,176447.0,15.0,176447.0,15.0,1
FIN1000135,802301,802162,M,M,Others,Class X,Level 1,Level 2,3.0,Confirmation,M,9.0,3.0,176447.0,15.0,176447.0,15.0,1
FIN1000136,208001,208014,F,M,Salaried,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,0.0,82621.0,5.0,82621.0,5.0,0
FIN1000137,444601,444604,F,M,Business,Class XII,Level 3,Level 3,4.0,Confirmation,M,4.0,3.0,256338.0,10.0,256338.0,10.0,1
FIN1000138,233001,233224,M,M,Others,Class XII,Level 2,Level 3,4.0,Confirmation,M,0.0,1.0,217853.0,13.0,217853.0,13.0,1
FIN1000139,230001,230403,M,S,Business,Class XII,Level 1,Level 2,3.0,Confirmation,M,1.0,0.0,414368.0,27.0,414368.0,27.0,1
FIN1000140,843302,843302,M,M,Salaried,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,404714.0,35.0,404714.0,35.0,1
FIN1000143,284001,284001,M,M,Others,Class XII,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,364224.0,25.0,364224.0,25.0,1
FIN1000145,848101,848101,M,M,Others,Class XII,Level 1,Level 4,5.0,Confirmation,M,0.0,0.0,842149.0,59.0,842149.0,59.0,0
FIN1000146,848101,848101,M,S,Business,Class XII,Level 1,Level 1,2.0,Confirmation,M,2.0,2.0,246630.0,18.0,246630.0,18.0,0
FIN1000147,812001,813109,M,S,Business,Class XII,Level 1,Level 1,1.0,Confirmation,M,0.0,3.0,141863.0,13.0,141863.0,13.0,0
FIN1000149,211001,212201,M,M,Business,Graduate,Level 2,Level 2,3.0,Confirmation,M,1.0,1.0,190648.0,14.0,190648.0,14.0,0
FIN1000150,826001,828305,M,S,Business,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,4.0,162420.0,12.0,162420.0,12.0,0
FIN1000151,285001,285223,M,S,Business,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,215143.0,12.0,215143.0,12.0,0
FIN1000152,380015,380005,M,S,Salaried,Graduate,Level 2,Level 2,3.0,Confirmation,M,1.0,4.0,110556.0,8.0,110556.0,8.0,0
FIN1000153,285001,285001,M,S,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,1.0,0.0,80997.0,6.0,80997.0,6.0,0
FIN1000154,423203,423302,M,S,Self Employed,Graduate,Level 1,Level 1,2.0,Confirmation,M,1.0,2.0,92023.0,4.0,92023.0,4.0,0
FIN1000155,277001,277303,M,S,Others,Class XII,Level 1,Level 4,5.0,Confirmation,M,0.0,1.0,367899.0,21.0,367899.0,21.0,0
FIN1000156,277001,277001,M,M,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,1.0,238751.0,19.0,238751.0,19.0,0
FIN1000157,400075,400093,M,M,Business,Class XII,Level 2,Level 5,6.0,Confirmation,M,0.0,1.0,1846047.0,25.0,1846047.0,25.0,0
FIN1000158,230001,230403,F,S,Business,Class X,Level 1,Level 2,3.0,Confirmation,M,1.0,0.0,414368.0,27.0,414368.0,27.0,0
FIN1000159,230001,230735,M,S,Business,Class XII,Level 1,Level 2,3.0,Confirmation,M,1.0,0.0,414368.0,27.0,414368.0,27.0,0
FIN1000160,753012,754214,M,S,Self Employed,Graduate,Level 2,Level 2,3.0,Confirmation,M,6.0,2.0,154437.0,12.0,154437.0,12.0,0
FIN1000161,533101,534301,M,M,Salaried,Class XII,Level 1,Level 2,3.0,Confirmation,M,2.0,0.0,118962.0,8.0,118962.0,8.0,0
FIN1000162,273001,274409,M,M,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,212735.0,17.0,212735.0,17.0,0
FIN1000163,273001,274406,M,M,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,212735.0,17.0,212735.0,17.0,0
FIN1000164,390020,390002,M,M,Others,Graduate,Level 1,Level 1,2.0,Confirmation,M,4.0,2.0,37200.0,4.0,37200.0,4.0,0
FIN1000165,277001,277303,M,S,Others,Class XII,Level 1,Level 4,5.0,Confirmation,M,0.0,1.0,367899.0,21.0,367899.0,21.0,0
FIN1000166,530003,531028,M,M,Salaried,Class XII,Level 2,Level 2,3.0,Confirmation,F,4.0,0.0,241429.0,6.0,241429.0,6.0,0
FIN1000167,390020,390014,M,M,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,4.0,2.0,37200.0,4.0,37200.0,4.0,0
FIN1000168,233001,233001,M,M,Others,Graduate,Level 1,Level 1,2.0,Confirmation,M,2.0,0.0,106782.0,10.0,106782.0,10.0,0
FIN1000169,390020,390007,M,S,Salaried,Graduate,Level 1,Level 1,2.0,Confirmation,M,0.0,1.0,57000.0,2.0,57000.0,2.0,0
FIN1000170,277001,277001,M,S,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,1.0,3.0,331277.0,15.0,331277.0,15.0,0
FIN1000171,273001,273015,M,M,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,62881.0,6.0,62881.0,6.0,0
FIN1000172,713216,713212,M,M,Salaried,Class XII,Level 2,Level 4,6.0,Confirmation,M,0.0,0.0,386710.0,24.0,386710.0,24.0,0
FIN1000173,500016,521212,M,S,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,2.0,2.0,409039.0,4.0,409039.0,4.0,0
FIN1000175,221010,221001,M,S,Self Employed,Graduate,Level 2,Level 4,6.0,Confirmation,M,0.0,0.0,382689.0,33.0,382689.0,33.0,0
FIN1000176,802301,802316,M,M,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,2.0,310900.0,23.0,310900.0,23.0,0
FIN1000177,713303,713325,F,S,Business,Class XII,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,256306.0,16.0,256306.0,16.0,0
FIN1000178,476001,476001,M,S,Salaried,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,252839.0,11.0,252839.0,11.0,0
FIN1000179,476001,474004,M,M,Salaried,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,0.0,83000.0,8.0,83000.0,8.0,0
FIN1000180,476001,474002,M,S,Others,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,0.0,83000.0,8.0,83000.0,8.0,0
FIN1000181,700016,743439,M,M,Salaried,Class XII,Level 2,Level 3,4.0,Confirmation,M,0.0,1.0,99105.0,5.0,99105.0,5.0,0
FIN1000182,476001,476001,M,M,Salaried,Class XII,Level 1,Level 4,6.0,Confirmation,M,0.0,0.0,1291678.0,66.0,1291678.0,66.0,0
FIN1000183,209625,209739,M,S,Salaried,Graduate,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,528538.0,25.0,528538.0,25.0,0
FIN1000184,700016,700070,M,M,Others,Class XII,Level 2,Level 3,4.0,Confirmation,M,0.0,0.0,89575.0,6.0,89575.0,6.0,0
FIN1000185,209625,209601,M,M,Others,Graduate,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,493729.0,21.0,493729.0,21.0,0
FIN1000186,277001,277001,M,S,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,310291.0,18.0,310291.0,18.0,0
FIN1000187,843302,843302,M,M,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,404714.0,35.0,404714.0,35.0,0
FIN1000188,444601,444601,F,M,Salaried,Class XII,Level 1,Level 3,4.0,Confirmation,M,1.0,0.0,313920.0,20.0,313920.0,20.0,0
FIN1000189,221010,221115,M,M,Business,Class X,Level 1,Level 1,2.0,Confirmation,M,0.0,1.0,152896.0,10.0,152896.0,10.0,0
FIN1000190,221010,221712,M,S,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,2.0,0.0,204514.0,16.0,204514.0,16.0,0
FIN1000191,221010,221001,M,S,Self Employed,Class XII,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,218659.0,14.0,218659.0,14.0,0
FIN1000192,680001,680615,M,M,Others,Graduate,Level 1,Level 2,3.0,Confirmation,F,6.0,3.0,1010701.0,32.0,1010701.0,32.0,0
FIN1000193,680001,680308,M,M,Others,Class XII,Level 1,Level 2,3.0,Confirmation,F,6.0,3.0,1010701.0,32.0,1010701.0,32.0,1
FIN1000194,390020,390019,F,M,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,1.0,0.0,288858.0,12.0,288858.0,12.0,1
FIN1000195,400705,400706,M,S,Salaried,Class XII,Level 1,Level 1,2.0,Confirmation,M,2.0,1.0,526715.0,29.0,526715.0,29.0,1
